Timestamp,PPI
291039.6589513,790
291039.6590574,904
291039.6591363,926
291039.6592679,813
291039.6593747,813
291044.6579583,799
291044.6580804,1324
291044.6581591,831
291044.658256,854
291049.5828768,1892
291049.58303,1303
291049.5831589,1436
291054.5069727,1064
291054.5071335,663
291054.5072258,826
291054.5073091,1193
291054.507353,720
291054.5073658,687
291054.5074125,716
291054.5074526,805
291059.6019047,782
291059.6020871,881
291059.6021642,944
291059.602294,905
291059.6023655,923
291059.6024126,929
291064.711532,878
291064.7117086,872
291064.7117643,781
291064.7117806,912
291064.7118453,814
291064.7119447,1015
291069.5396004,735
291069.5397539,914
291069.5398849,870
291069.5399403,909
291069.5400589,826
291069.5400693,758
291074.6625066,855
291074.6625859,867
291074.6626268,815
291074.6626887,814
291074.6627243,860
291074.6627549,828
291079.6136354,854
291079.6137279,828
291079.6137516,820
291079.6138293,917
291079.6139061,949
291084.7152726,763
291084.7154253,1009
291084.7155015,1026
291084.71557,799
291084.715611,855
291084.7156455,827
291089.5135545,893
291089.5137363,858
291089.513828,921
291089.5139173,938
291089.514004,838
291089.5141014,911
291094.5538561,912
291094.5540337,894
291094.5541337,756
291094.5541944,766
291094.5543176,794
291099.7144216,826
291099.7145394,911
291099.7145888,1189
291099.7146601,893
291099.7146979,645
291099.7147433,944
291104.5104716,803
291104.5106673,919
291104.5107715,919
291104.5108469,930
291104.510914,564
291104.5109523,1382
291109.6752202,1692
291109.6753367,1620
291114.5938091,689
291114.5939754,778
291114.5940408,796
291114.5941203,747
291114.5941968,736
291114.5942733,774
291114.5943295,736
291114.5943827,756
291114.5944409,712
291119.6949442,834
291119.6950252,1574
291119.6950733,774
291119.6951112,814
291124.4094093,767
291124.4095261,812
291124.4095359,851
291124.4095796,1001
291124.4096028,844
291124.4096694,840
291124.409704,886
291129.5728908,867
291129.573037,1654
291129.5730965,961
291129.5731958,1397
291134.6064081,976
291134.6064868,807
291134.606611,873
291134.6066289,965
291134.6066924,1009
291139.700809,1057
291139.7009885,775
291139.7010996,893
291139.7011834,729
291139.7012327,693
291139.7012933,422
291144.6832812,914
291144.6834061,888
291144.6835593,952
291144.6835861,914
291144.6836321,925
291144.6837082,957
291149.5741102,905
291149.5742765,789
291149.5744172,839
291149.5744808,828
291149.57456,866
291149.5746419,1044
291154.6494162,583
291154.6495974,957
291154.6496744,855
291154.6497773,829
291154.6498538,825
291154.6499189,864
291159.4447363,763
291159.4449144,1297
291159.4449955,738
291159.4450752,1171
291164.6184117,799
291164.6185314,979
291164.6185726,826
291164.6186064,771
291164.6186329,639
291164.6186626,886
291164.6187395,771
291164.6187498,677
291169.5611195,781
291169.5613269,800
291169.5614383,742
291169.5615271,865
291169.5616069,767
291169.5617024,800
291174.6578825,1015
291174.6580264,748
291174.6581631,908
291174.6582181,1340
291174.6582675,794
291179.7034082,805
291179.7035088,748
291179.7036223,755
291179.7037456,805
291179.7037916,824
291179.7038571,799
291184.5226845,859
291184.5227866,846
291184.522886,1052
291184.52297,751
291184.5230901,735
291184.5232151,750
291184.5232901,760
291189.6540664,794
291189.6541997,741
291189.6543299,744
291189.6544481,778
291189.6545192,901
291194.7028112,902
291194.7029741,852
291194.703101,880
291194.7031648,905
291194.7032529,899
291194.7033353,965
291199.6155546,1605
291199.6156436,1664
291199.6156918,894
291204.5336556,2071
291204.5337558,668
291204.5338511,1887
291209.6726246,763
291209.6727388,1638
291209.6727707,1006
291209.6728534,2146
291214.7359441,1023
291214.7361526,907
291214.7362554,877
291214.7363462,850
291214.7364248,745
291214.7365172,1171
291214.7365758,655
291219.509128,764
291219.5093543,825
291219.5094383,830
291219.5095008,815
291219.5096061,961
291219.509724,774
291224.6770006,503
291224.6771275,1239
291224.6773017,886
291224.6773719,1026
291229.6564382,599
291229.6565519,786
291229.6566547,925
291229.6567593,768
291229.6568486,807
291229.6569025,938
291229.656976,884
291234.6338431,862
291234.634027,778
291234.6341428,862
291234.6342357,788
291234.6343299,844
291234.6344086,877
291239.5018462,811
291239.5020038,812
291239.5021435,850
291239.502262,840
291239.5023811,847
291239.5024209,795
291244.5865105,843
291244.5866542,701
291244.5866985,918
291244.5868037,1198
291244.5868623,748
291249.6850777,826
291249.6852704,968
291249.6853747,801
291249.6854914,800
291249.6855903,895
291249.685668,827
291249.6857316,857
291254.5519532,836
291254.5520584,773
291254.5522042,841
291254.5522955,788
291254.5523311,948
291259.7411383,954
291259.741307,924
291259.7413514,923
291259.7414559,883
291259.7415729,891
291259.7415782,846
291264.6341258,877
291264.6342859,978
291264.6343619,769
291264.6344733,856
291264.6345763,909
291264.6346515,1018
291269.7625377,961
291269.7626462,945
291269.7627281,2244
291274.4392723,1562
291274.4394281,1175
291274.4395642,1863
291279.6015935,626
291279.6017421,637
291279.6018684,668
291279.6019042,700
291279.6020079,726
291279.6020957,698
291279.6021797,691
291279.6022466,702
291279.602316,751
291284.6379477,784
291284.6381673,830
291284.6382576,865
291284.638305,859
291284.6383455,831
291284.6384424,808
291289.5750614,813
291289.5751779,815
291289.5752565,943
291289.5753285,952
291289.5754601,1032
291294.7278837,896
291294.727968,837
291294.7280533,1109
291294.7281397,583
291294.7281863,749
291294.7282585,748
291299.6162099,768
291299.6163882,839
291299.6164555,937
291299.6165788,934
291299.6166275,1201
291299.6167111,582
291304.6850904,847
291304.6853196,790
291304.6854442,748
291304.6855146,861
291304.6856005,946
291304.6857153,883
291309.487217,943
291309.487311,1003
291309.4873736,924
291309.4874447,846
291309.4874874,894
291314.6377547,1007
291314.6378654,1063
291314.637957,1044
291314.6380276,981
291314.6380661,962
291319.6191276,1021
291319.6192625,1067
291319.6193205,1013
291319.6194217,978
291319.6194329,1077
291324.7528559,1049
291324.7530387,1086
291324.7531003,993
291324.7531921,963
291324.7532513,961
291329.4723465,980
291329.4724605,1024
291329.4725589,954
291329.4726611,1069
291329.4727532,1055
291334.5964819,1057
291334.5965886,943
291334.5967098,931
291334.5968103,913
291334.5968905,1008
291339.6991594,964
291339.6993711,962
291339.6994562,1042
